source,target,value
42041,14715,10.0
42041,40220,10.0
42041,12390,10.0
42041,14711,10.0
1001,195,10.0
1001,30517,10.0
1001,3222,10.0
1003,6145,10.0
1003,195,10.0
1003,16140,10.0
1003,17646,10.0
1003,6491,10.0
1003,1149,10.0
1005,18203,10.0
1005,14602,10.0
1005,195,10.0
1005,5204,10.0
1007,195,10.0
1007,3222,10.0
1009,195,10.0
13127,31833,10.0
13127,7140,10.0
1011,195,10.0
1011,5204,10.0
1011,17534,10.0
1013,195,10.0
1013,30517,10.0
1013,17534,10.0
1015,3426,10.0
1015,195,10.0
1015,15022,10.0
1015,4327,10.0
1017,18203,10.0
1017,19219,10.0
1017,10570,10.0
1017,195,10.0
1017,10687,10.0
1019,3426,10.0
1019,195,10.0
31131,18408,10.0
31131,18428,10.0
31131,13334,10.0
31131,14127,10.0
1021,195,10.0
1021,3222,10.0
1023,195,10.0
1023,1780,10.0
1025,195,10.0
1025,1780,10.0
1025,40127,10.0
1027,18203,10.0
1027,195,10.0
1027,4327,10.0
54045,733,10.0
1029,18203,10.0
1029,195,10.0
1031,5728,10.0
1031,195,10.0
1031,20841,10.0
1031,14602,10.0
1031,4430,10.0
1031,17534,10.0
1033,13144,10.0
1033,17033,10.0
1033,19307,10.0
1033,6717,10.0
1035,195,10.0
1035,6052,10.0
1035,30517,10.0
1035,17646,10.0
1037,195,10.0
1037,3222,10.0
1039,195,10.0
1039,14151,10.0
1039,20841,10.0
1039,17646,10.0
1039,4430,10.0
1039,604,10.0
1039,30517,10.0
1041,17534,10.0
1041,195,10.0
1041,11333,10.0
1041,4430,10.0
1041,30517,10.0
1043,4617,10.0
1043,4618,10.0
1043,195,10.0
1043,750,10.0
1045,195,10.0
1045,20841,10.0
1045,14602,10.0
1045,4430,10.0
1045,5309,10.0
1045,17534,10.0
1047,195,10.0
1047,1780,10.0
1047,30517,10.0
1047,3222,10.0
1049,3426,10.0
1049,6612,10.0
1049,11714,10.0
1049,16629,10.0
1051,195,10.0
1051,3222,10.0
1053,195,10.0
1053,17646,10.0
1053,4430,10.0
1055,3426,10.0
1055,195,10.0
1055,11714,10.0
1055,4327,10.0
1057,19027,10.0
1057,195,10.0
1059,16458,10.0
1059,195,10.0
1059,6717,10.0
1061,8209,10.0
1061,195,10.0
1061,4430,10.0
1061,20841,10.0
1063,195,10.0
1063,1780,10.0
1065,195,10.0
1065,1780,10.0
1067,20841,10.0
1067,14602,10.0
1067,195,10.0
1069,20841,10.0
1069,195,10.0
1069,5309,10.0
1071,16829,10.0
1071,13669,10.0
1071,16629,10.0
1073,1640,10.0
1073,18472,10.0
1073,195,10.0
1075,19027,10.0
1075,195,10.0
42037,3170,10.0
42037,14715,10.0
1079,9739,10.0
1079,4618,10.0
1079,195,10.0
1079,40364,10.0
1081,18203,10.0
1081,14146,10.0
1081,195,10.0
1081,5204,10.0
1083,944,10.0
1085,195,10.0
1085,5204,10.0
1085,17534,10.0
1085,3222,10.0
1085,30517,10.0
1087,19308,10.0
1087,195,10.0
1087,5204,10.0
42049,7256,10.0
42049,40223,10.0
42049,40293,10.0
42049,14711,10.0
1091,195,10.0
